id,type,a,b,c,d,e
0000,smd,-,-,-,-,-
0001,smd,-,-,-,-,-
0002,smd,3832,-,-,-,-
0003,smd,-,-,-,-,-
0004,smd,-,-,-,-,-
0005,smd,-,-,-,-,-
0006,smd,-,-,-,-,-
0007,smd,2210,-,-,-,-
0008,smd,3091,-,-,-,-
0009,smd,3091,-,-,-,-
0010,smd,-,-,-,-,-
0011,smd,-,-,-,-,-
0012,smd,-,-,-,-,-
0013,smd,-,-,-,-,-
0014,smd,4910,-,-,-,-
0015,smd,1740,-,-,-,-
0016,smd,88R7,-,-,-,-
0017,smd,-,-,-,-,-
0018,smd,-,-,-,-,-
0019,smd,-,-,-,-,-
0020,smd,-,-,-,-,-
0021,smd,913,-,-,-,-
0022,smd,-,-,-,-,-
0023,smd,-,-,-,-,-
0024,smd,-,-,-,-,-
0025,smd,-,-,-,-,-
0026,smd,3601,-,-,-,-
0027,smd,-,-,-,-,-
0028,smd,-,-,-,-,-
0029,smd,-,-,-,-,-
0030,smd,-,-,-,-,-
0031,smd,-,-,-,-,-
0032,smd,-,-,-,-,-
0033,smd,-,-,-,-,-
0034,smd,-,-,-,-,-
0035,smd,395,-,-,-,-
0036,smd,164,-,-,-,-
0037,smd,-,-,-,-,-
0038,smd,-,-,-,-,-
0039,smd,-,-,-,-,-
0040,smd,3320,-,-,-,-
0041,smd,360,-,-,-,-
0042,smd,-,-,-,-,-
0043,smd,-,-,-,-,-
0044,smd,-,-,-,-,-
0045,smd,-,-,-,-,-
0046,smd,-,-,-,-,-
0047,smd,243,-,-,-,-
0048,smd,-,-,-,-,-
0049,smd,-,-,-,-,-
0050,smd,-,-,-,-,-
0051,smd,-,-,-,-,-
0052,smd,-,-,-,-,-
0053,smd,2703,-,-,-,-
0054,smd,-,-,-,-,-
0055,smd,-,-,-,-,-
0056,smd,-,-,-,-,-
0057,smd,915,-,-,-,-
0058,smd,-,-,-,-,-
0059,smd,-,-,-,-,-
0060,smd,-,-,-,-,-
0061,smd,-,-,-,-,-
0062,smd,-,-,-,-,-
0063,smd,-,-,-,-,-
0064,smd,-,-,-,-,-
0065,smd,-,-,-,-,-
0066,smd,-,-,-,-,-
0067,smd,-,-,-,-,-
0068,smd,3920,-,-,-,-
0069,smd,-,-,-,-,-
0070,smd,-,-,-,-,-
0071,smd,-,-,-,-,-
0072,smd,-,-,-,-,-
0073,smd,-,-,-,-,-
0074,smd,7872,-,-,-,-
0075,smd,-,-,-,-,-
0076,smd,-,-,-,-,-
0077,smd,-,-,-,-,-
0078,smd,-,-,-,-,-
0079,smd,-,-,-,-,-
0080,smd,-,-,-,-,-
0081,smd,-,-,-,-,-
0082,smd,-,-,-,-,-
0083,smd,-,-,-,-,-
0084,smd,-,-,-,-,-
0085,smd,-,-,-,-,-
0086,smd,-,-,-,-,-
0087,smd,-,-,-,-,-
0088,smd,-,-,-,-,-
0089,smd,-,-,-,-,-
0090,smd,-,-,-,-,-
0091,smd,625,-,-,-,-
0092,smd,-,-,-,-,-
0093,smd,-,-,-,-,-
0094,smd,-,-,-,-,-
0095,smd,-,-,-,-,-
0096,smd,-,-,-,-,-
0097,smd,1020,-,-,-,-
0098,smd,1014,-,-,-,-
0099,smd,-,-,-,-,-
0100,smd,-,-,-,-,-
0101,smd,-,-,-,-,-
0102,smd,-,-,-,-,-
0103,smd,-,-,-,-,-
0104,smd,-,-,-,-,-
0105,smd,3603,-,-,-,-
0106,smd,-,-,-,-,-
0107,smd,-,-,-,-,-
0108,smd,-,-,-,-,-
0109,smd,079,-,-,-,-
0110,smd,-,-,-,-,-
0111,smd,-,-,-,-,-
0112,smd,-,-,-,-,-
0113,smd,435,-,-,-,-
0114,smd,-,-,-,-,-
0115,smd,-,-,-,-,-
0116,smd,-,-,-,-,-
0117,smd,-,-,-,-,-
0118,smd,-,-,-,-,-
0119,smd,-,-,-,-,-
0120,smd,-,-,-,-,-
0121,smd,-,-,-,-,-
0122,smd,125,-,-,-,-
0123,smd,-,-,-,-,-
0124,smd,-,-,-,-,-
0125,smd,-,-,-,-,-
0126,smd,-,-,-,-,-
0127,smd,-,-,-,-,-
0128,smd,-,-,-,-,-
0129,smd,-,-,-,-,-
0130,smd,-,-,-,-,-
0131,smd,-,-,-,-,-
0132,smd,-,-,-,-,-
0133,smd,-,-,-,-,-
0134,smd,-,-,-,-,-
0135,smd,-,-,-,-,-
0136,smd,-,-,-,-,-
0137,smd,-,-,-,-,-
0138,smd,-,-,-,-,-
0139,smd,-,-,-,-,-
0140,smd,-,-,-,-,-
0141,smd,-,-,-,-,-
0142,smd,-,-,-,-,-
0143,smd,-,-,-,-,-
0144,smd,-,-,-,-,-
0145,smd,-,-,-,-,-
0146,smd,-,-,-,-,-
0147,smd,-,-,-,-,-
0148,smd,-,-,-,-,-
0149,smd,-,-,-,-,-
0150,smd,-,-,-,-,-
0151,smd,-,-,-,-,-
0152,smd,-,-,-,-,-
0153,smd,-,-,-,-,-
0154,smd,-,-,-,-,-
0155,smd,-,-,-,-,-
0156,smd,-,-,-,-,-
0157,smd,-,-,-,-,-
0158,smd,-,-,-,-,-
0159,smd,-,-,-,-,-
0160,smd,-,-,-,-,-
0161,smd,-,-,-,-,-
0162,smd,-,-,-,-,-
0163,smd,-,-,-,-,-
0164,smd,-,-,-,-,-
0165,smd,-,-,-,-,-
0166,smd,-,-,-,-,-
0167,smd,-,-,-,-,-
0168,smd,-,-,-,-,-
0169,smd,-,-,-,-,-
0170,smd,-,-,-,-,-
0171,smd,-,-,-,-,-
0172,smd,-,-,-,-,-
0173,smd,-,-,-,-,-
0174,smd,-,-,-,-,-
0175,smd,-,-,-,-,-
0176,smd,8451,-,-,-,-
0177,smd,-,-,-,-,-
0178,smd,-,-,-,-,-
0179,smd,-,-,-,-,-
0180,smd,-,-,-,-,-
0181,smd,131,-,-,-,-
0182,smd,1782,-,-,-,-
0183,smd,-,-,-,-,-
0184,smd,-,-,-,-,-
0185,smd,-,-,-,-,-
0186,smd,4914,-,-,-,-
0187,smd,-,-,-,-,-
0188,smd,-,-,-,-,-
0189,smd,-,-,-,-,-
0190,smd,-,-,-,-,-
0191,smd,-,-,-,-,-
0192,smd,-,-,-,-,-
0193,smd,-,-,-,-,-
0194,smd,-,-,-,-,-
0195,smd,-,-,-,-,-
0196,smd,-,-,-,-,-
0197,smd,-,-,-,-,-
0198,smd,-,-,-,-,-
0199,smd,-,-,-,-,-
0200,smd,-,-,-,-,-
0201,smd,-,-,-,-,-
0202,smd,-,-,-,-,-
0203,smd,-,-,-,-,-
0204,smd,-,-,-,-,-
0205,smd,-,-,-,-,-
0206,smd,-,-,-,-,-
0207,smd,-,-,-,-,-
0208,smd,487,-,-,-,-
0209,smd,-,-,-,-,-
0210,smd,110,-,-,-,-
0211,smd,-,-,-,-,-
0212,smd,-,-,-,-,-
0213,smd,-,-,-,-,-
0214,smd,-,-,-,-,-
0215,smd,-,-,-,-,-
0216,smd,-,-,-,-,-
0217,smd,-,-,-,-,-
0218,smd,-,-,-,-,-
0219,smd,-,-,-,-,-
0220,smd,-,-,-,-,-
0221,smd,-,-,-,-,-
0222,smd,-,-,-,-,-
0223,smd,-,-,-,-,-
0224,smd,-,-,-,-,-
0225,smd,-,-,-,-,-
0226,smd,-,-,-,-,-
0227,smd,-,-,-,-,-
0228,smd,395,-,-,-,-
0229,smd,-,-,-,-,-
0230,smd,-,-,-,-,-
0231,smd,-,-,-,-,-
0232,smd,-,-,-,-,-
0233,smd,-,-,-,-,-
0234,smd,-,-,-,-,-
0235,smd,-,-,-,-,-
0236,smd,-,-,-,-,-
0237,smd,-,-,-,-,-
0238,smd,-,-,-,-,-
