id,type,a,b,c,d,e
0000,axial,1,2,0,4,-
0001,axial,2,3,7,3,2
0002,smd,-,-,-,-,-
0003,axial,5,1,0,3,2
0004,axial,4,1,-1,8,-
0005,axial,7,5,0,1,2
0006,axial,1,9,4,2,-
0007,axial,8,6,9,6,8
0008,axial,6,6,6,6,6
0009,axial,8,8,-,-,-
0010,axial,1,1,9,4,-
0011,axial,7,5,0,1,1
0012,axial,4,7,4,4,-
0013,axial,1,2,2,0,3
0014,axial,-2,8,8,-,-
0015,axial,8,-,-,-,-
0016,smd,-,-,-,-,-
0017,axial,4,9,8,2,8
0018,axial,2,4,0,4,-
0019,axial,1,5,4,-1,-
0020,axial,4,4,-2,9,9
0021,axial,-2,-,-,-,-
0022,axial,2,7,2,-1,-
0023,axial,5,1,0,3,1
0024,axial,1,7,2,2,1
0025,axial,5,6,0,4,1
0026,axial,8,8,8,-2,-
0027,axial,1,5,5,4,-
0028,axial,1,2,1,1,2
0029,axial,2,7,0,3,1
0030,axial,8,1,4,-1,-
0031,axial,1,8,1,8,-
0032,axial,5,6,8,3,-
0033,axial,3,5,7,2,1
0034,axial,6,0,0,2,-
0035,axial,1,-,-,-,-
0036,smd,-,-,-,-,-
0037,axial,1,1,1,4,-
0038,axial,1,7,2,-,-
0039,axial,1,1,7,3,2
0040,axial,1,-,-,-,-
0041,axial,1,-,-,-,-
0042,axial,4,4,8,1,-
0043,axial,1,-2,1,-2,-
0044,axial,3,6,9,3,-
0045,axial,5,0,3,1,-
0046,axial,1,2,4,0,1
0047,axial,8,-,-,-,-
0048,axial,4,7,2,9,-
0049,axial,1,3,8,4,-
0050,axial,8,1,1,9,-
0051,axial,1,-,-,-,-
0052,axial,9,9,-2,8,1
0053,axial,9,8,9,9,-
0054,axial,1,6,2,1,-
0055,axial,0,1,1,2,-
0056,axial,1,1,0,3,1
0057,axial,8,6,-,-,-
0058,axial,6,8,1,-1,-
0059,axial,4,4,2,2,2
0060,axial,1,-1,-1,-2,-
0061,axial,3,6,4,4,-
0062,axial,7,7,1,2,-
0063,axial,-2,2,2,-,-
0064,axial,2,0,2,1,-
0065,axial,2,0,0,4,2
0066,axial,8,8,8,4,4
0067,axial,4,2,2,0,1
0068,axial,-2,9,8,6,8
0069,axial,2,7,-1,-,-
0070,axial,1,2,0,1,-
0071,axial,-2,8,9,5,5
0072,axial,8,1,8,-,-
0073,axial,1,6,5,2,2
0074,axial,9,-,-,-,-
0075,axial,3,0,1,4,1
0076,axial,6,0,4,1,2
0077,axial,1,5,0,2,-
0078,axial,9,4,0,1,-
0079,axial,4,7,-1,8,-
0080,axial,4,3,0,-,-
0081,axial,3,3,4,9,-
0082,axial,2,2,-2,4,-
0083,axial,9,-2,2,4,-2
0084,axial,1,7,1,8,-
0085,axial,3,6,0,0,1
0086,smd,-,-,-,-,-
0087,axial,1,9,0,2,-
0088,axial,4,7,4,4,-
0089,axial,1,2,7,3,2
0090,axial,1,2,4,4,2
0091,smd,-,-,-,-,-
0092,axial,8,2,3,-1,-
0093,axial,5,3,6,4,1
0094,axial,8,9,8,8,-
0095,axial,1,5,-1,-,-
0096,axial,3,3,4,9,-
0097,axial,9,-2,-,-,-
0098,axial,1,8,1,-,-
0099,axial,8,3,-2,6,-
0100,axial,1,1,-2,-1,-
0101,axial,4,9,2,2,-
0102,axial,3,3,3,1,-
0103,axial,8,-,-,-,-
0104,axial,6,7,6,3,4
0105,axial,1,1,9,1,-
0106,axial,1,2,7,0,1
0107,axial,1,1,9,4,-
0108,axial,4,1,-1,4,2
0109,axial,1,1,8,1,-
0110,axial,1,1,4,4,-
0111,axial,5,5,9,8,8
0112,axial,1,6,6,2,-
0113,axial,1,-,-,-,-
0114,axial,6,2,2,9,-
0115,axial,4,7,5,1,2
0116,axial,1,0,0,4,1
0117,axial,1,2,4,4,-
0118,axial,1,6,2,1,1
0119,axial,5,7,5,2,2
0120,axial,1,1,3,2,1
0121,axial,2,2,9,4,-
0122,smd,-,-,-,-,-
0123,axial,3,3,4,4,-
0124,axial,0,6,3,2,-
0125,smd,-,-,-,-,-
0126,axial,3,3,4,2,-
0127,axial,1,2,3,2,2
0128,axial,2,4,4,2,-
0129,axial,2,6,1,4,2
0130,axial,1,6,6,2,-
0131,axial,2,6,3,0,1
0132,axial,3,9,3,8,-
0133,axial,9,1,1,5,-
0134,axial,4,5,4,2,-
0135,axial,8,-,-,-,-
0136,axial,1,0,2,-,-
0137,smd,-,-,-,-,-
0138,axial,4,7,-1,-,-
0139,axial,1,1,1,1,2
0140,axial,2,7,5,4,-
0141,axial,8,8,8,-,-
0142,axial,1,1,3,9,-
0143,axial,1,2,1,1,2
0144,axial,3,4,3,2,-
0145,axial,3,6,4,9,-
0146,axial,3,3,4,9,-
0147,axial,6,3,4,4,1
0148,axial,1,6,5,-1,-
0149,axial,1,9,1,-,-
0150,axial,6,2,0,2,2
0151,axial,2,8,8,8,2
0152,axial,4,7,3,-1,-
0153,axial,2,7,3,9,-
0154,axial,7,8,8,-2,2
0155,axial,1,0,6,7,-
0156,axial,0,1,2,2,-
0157,axial,1,6,-1,-1,-
0158,axial,3,4,0,3,2
0159,axial,2,1,7,4,-
0160,axial,-1,4,4,9,-
0161,axial,3,3,1,1,-
0162,axial,1,4,0,4,2
