id,type,a,b,c,d,e
0,axial,1,2,0,4,-
1,axial,2,3,7,3,2
2,smd,3832,-,-,-,-
3,axial,5,1,0,3,2
4,axial,4,1,-1,8,-
5,axial,7,5,0,1,2
6,axial,1,9,4,2,-
7,smd,2210,-,-,-,-
8,smd,3091,-,-,-,-
9,smd,3091,-,-,-,-
10,axial,1,1,9,4,-
11,axial,7,5,0,1,1
12,axial,4,7,4,4,-
13,axial,1,2,2,0,3
14,smd,4910,-,-,-,-
15,smd,1740,-,-,-,-
16,smd,88R7,-,-,-,-
17,axial,4,9,8,2,8
18,axial,2,4,0,4,-
19,axial,1,5,4,-1,-
20,axial,4,4,-2,9,9
21,smd,913,-,-,-,-
22,axial,2,7,2,-1,-
23,axial,5,1,0,3,1
24,axial,1,7,2,2,1
25,axial,5,6,0,4,1
26,smd,3601,-,-,-,-
27,axial,1,5,5,4,-
28,axial,1,2,1,1,2
29,axial,2,7,0,3,1
30,axial,8,1,4,-1,-
31,axial,1,8,1,8,-
32,axial,5,6,8,3,-
33,axial,3,5,7,2,1
34,axial,6,0,0,2,-
35,smd,395,-,-,-,-
36,smd,164,-,-,-,-
37,axial,1,1,1,4,-
38,axial,1,7,2,-,-
39,axial,1,1,7,3,2
40,smd,3320,-,-,-,-
41,smd,360,-,-,-,-
42,axial,4,4,8,1,-
43,axial,1,-2,1,-2,-
44,axial,3,6,9,3,-
45,axial,5,0,3,1,-
46,axial,1,2,4,0,1
47,smd,243,-,-,-,-
48,axial,4,7,2,9,-
49,axial,1,3,8,4,-
50,axial,8,1,1,9,-
51,axial,1,-,-,-,-
52,axial,9,9,-2,8,1
53,smd,2703,-,-,-,-
54,axial,1,6,2,1,-
55,axial,0,1,1,2,-
56,axial,1,1,0,3,1
57,smd,915,-,-,-,-
58,axial,6,8,1,-1,-
59,axial,4,4,2,2,2
60,axial,1,-1,-1,-2,-
61,axial,3,6,4,4,-
62,axial,7,7,1,2,-
63,axial,-2,2,2,-,-
64,axial,2,0,2,1,-
65,axial,2,0,0,4,2
66,axial,8,8,8,4,4
67,axial,4,2,2,0,1
68,smd,3920,-,-,-,-
69,axial,2,7,-1,-,-
70,axial,1,2,0,1,-
71,axial,-2,8,9,5,5
72,axial,8,1,8,-,-
73,axial,1,6,5,2,2
74,smd,7872,-,-,-,-
75,axial,3,0,1,4,1
76,axial,6,0,4,1,2
77,axial,1,5,0,2,-
78,axial,9,4,0,1,-
79,axial,4,7,-1,8,-
80,axial,4,3,0,-,-
81,axial,3,3,4,9,-
82,axial,2,2,-2,4,-
83,axial,9,-2,2,4,-2
84,axial,1,7,1,8,-
85,axial,3,6,0,0,1
86,smd,-,-,-,-,-
87,axial,1,9,0,2,-
88,axial,4,7,4,4,-
89,axial,1,2,7,3,2
90,axial,1,2,4,4,2
91,smd,625,-,-,-,-
92,axial,8,2,3,-1,-
93,axial,5,3,6,4,1
94,axial,8,9,8,8,-
95,axial,1,5,-1,-,-
96,axial,3,3,4,9,-
97,smd,1020,-,-,-,-
98,smd,1014,-,-,-,-
99,axial,8,3,-2,6,-
100,axial,1,1,-2,-1,-
101,axial,4,9,2,2,-
102,axial,3,3,3,1,-
103,axial,8,-,-,-,-
104,axial,6,7,6,3,4
105,smd,3603,-,-,-,-
106,axial,1,2,7,0,1
107,axial,1,1,9,4,-
108,axial,4,1,-1,4,2
109,smd,079,-,-,-,-
110,axial,1,1,4,4,-
111,axial,5,5,9,8,8
112,axial,1,6,6,2,-
113,smd,435,-,-,-,-
114,axial,6,2,2,9,-
115,axial,4,7,5,1,2
116,axial,1,0,0,4,1
117,axial,1,2,4,4,-
118,axial,1,6,2,1,1
119,axial,5,7,5,2,2
120,axial,1,1,3,2,1
121,axial,2,2,9,4,-
122,smd,125,-,-,-,-
123,axial,3,3,4,4,-
124,axial,0,6,3,2,-
125,smd,-,-,-,-,-
126,axial,3,3,4,2,-
127,axial,1,2,3,2,2
128,axial,2,4,4,2,-
129,axial,2,6,1,4,2
130,axial,1,6,6,2,-
131,axial,2,6,3,0,1
132,axial,3,9,3,8,-
133,axial,9,1,1,5,-
134,axial,4,5,4,2,-
135,axial,8,-,-,-,-
136,axial,1,0,2,-,-
137,smd,-,-,-,-,-
138,axial,4,7,-1,-,-
139,axial,1,1,1,1,2
140,axial,2,7,5,4,-
141,axial,8,8,8,-,-
142,axial,1,1,3,9,-
143,axial,1,2,1,1,2
144,axial,3,4,3,2,-
145,axial,3,6,4,9,-
146,axial,3,3,4,9,-
147,axial,6,3,4,4,1
148,axial,1,6,5,-1,-
149,axial,1,9,1,-,-
150,axial,6,2,0,2,2
151,axial,2,8,8,8,2
152,axial,4,7,3,-1,-
153,axial,2,7,3,9,-
154,axial,7,8,8,-2,2
155,axial,1,0,6,7,-
156,axial,0,1,2,2,-
157,axial,1,6,-1,-1,-
158,axial,3,4,0,3,2
159,axial,2,1,7,4,-
160,axial,-1,4,4,9,-
161,axial,3,3,1,1,-
162,axial,1,4,0,4,2
163,axial,2,2,4,-1,-
164,axial,2,5,0,1,-
165,axial,2,2,6,4,2
166,axial,3,1,3,2,-
167,axial,3,0,1,2,2
168,axial,-1,4,0,3,1
169,axial,6,2,5,4,-
170,axial,1,-2,1,9,-
171,axial,2,4,4,4,-
172,axial,3,1,1,2,-
173,axial,4,4,6,3,-
174,axial,1,1,9,-1,-
175,axial,3,4,5,5,-
176,smd,8451,-,-,-,-
177,axial,2,2,2,1,-
178,axial,-2,-2,4,9,3
179,axial,5,6,4,9,-
180,axial,1,7,2,2,1
181,smd,131,-,-,-,-
182,smd,1782,-,-,-,-
183,axial,2,2,0,4,1
184,axial,5,6,0,4,2
185,axial,1,1,1,4,2
186,smd,4914,-,-,-,-
187,axial,2,2,1,1,-
188,axial,4,3,5,1,-
189,axial,9,9,-2,4,-1
190,axial,4,7,5,4,-1
191,axial,8,8,8,-,-
192,axial,1,1,-2,8,9
193,axial,1,5,0,9,-
194,axial,7,5,1,4,-
195,axial,3,1,8,9,-2
196,axial,5,7,2,0,1
197,axial,9,1,0,4,-
198,axial,1,2,0,1,-
199,axial,2,7,1,2,-
200,axial,6,0,4,2,1
201,axial,1,2,5,-1,-
202,axial,5,4,4,1,-
203,axial,8,9,8,3,2
204,axial,2,6,1,4,1
205,axial,1,1,0,2,-
206,axial,0,5,5,2,-
207,axial,2,3,2,3,2
208,smd,487,-,-,-,-
209,axial,2,2,2,4,-
210,smd,110,-,-,-,-
211,axial,8,2,8,0,8
212,axial,4,7,4,2,-
213,axial,2,7,4,0,1
214,smd,-,-,-,-,-
215,axial,-2,2,1,4,-
216,axial,7,0,2,1,1
217,axial,6,1,2,2,-
218,axial,7,5,1,8,-
219,axial,8,2,1,-1,-
220,axial,2,4,4,8,-
221,axial,1,7,1,2,-
222,axial,9,8,4,8,6
223,axial,5,9,9,8,2
224,axial,-1,7,5,4,1
225,axial,3,0,4,3,-
226,axial,1,1,3,2,-
227,axial,1,1,1,2,-
228,smd,395,-,-,-,-
229,axial,0,6,4,2,-
230,axial,9,5,4,2,-
231,axial,9,1,-2,4,9
232,axial,1,1,3,4,2
233,axial,1,1,-2,-,-
234,axial,5,7,4,-1,-
235,axial,9,2,6,3,-
236,axial,2,0,3,6,2
237,smd,-,-,-,-,-
238,axial,4,0,0,1,-
239,axial,7,5,0,4,1
240,axial,2,4,0,1,1
241,axial,4,5,4,2,-
242,axial,1,0,3,1,-
243,axial,8,1,1,1,-
244,axial,8,2,4,4,-
245,smd,1912,-,-,-,-
246,axial,5,1,0,2,1
247,axial,3,0,2,1,-
248,axial,1,0,5,8,-
249,axial,8,2,3,4,-
250,axial,1,5,3,9,-
251,axial,1,1,-1,8,-
252,axial,2,1,-1,-,-
253,axial,7,8,2,4,-
254,axial,1,4,-1,-1,-
255,axial,1,0,1,8,-
256,smd,180,-,-,-,-
257,axial,4,7,0,2,1
258,axial,1,4,0,0,1
259,smd,240,-,-,-,-
260,axial,5,1,1,2,2
261,axial,3,9,4,8,-
262,axial,1,2,4,3,2
263,axial,2,1,0,-1,2
264,axial,2,0,5,0,1
265,axial,2,4,0,1,1
266,axial,2,4,3,4,-
267,axial,1,1,-1,8,-
268,axial,8,6,9,2,8
269,axial,2,1,7,-1,1
270,axial,2,4,4,2,-
271,smd,161,-,-,-,-
272,axial,7,5,4,4,-1
273,axial,1,1,3,9,-
274,axial,1,5,5,1,-
275,axial,2,0,8,4,-
276,axial,1,7,4,3,1
277,axial,1,3,-1,4,-
278,axial,2,4,3,4,-
279,axial,1,4,-1,4,-
280,axial,2,4,3,2,-
281,axial,4,7,5,-,-
282,axial,3,0,3,2,-
283,axial,2,7,1,2,1
284,axial,4,3,3,4,-
285,smd,-,-,-,-,-
286,smd,2203,-,-,-,-
287,axial,8,1,5,8,9
288,axial,1,2,4,2,-
289,axial,1,4,0,2,1
